solvent ID,smiles,EA_0-1
zinc_930603256,CC[C@H](CO)N1CC[C@H](F)C1,-4.116864918134161
zinc_379308286,CC[C@H](C)NC1(COC)CC1,-5.506721456995242
zinc_85508501,CO[C@@H]1C[C@@H](O)C1(C)C,-4.492122136786408
zinc_82764614,C[C@@H](CO)CC1CCOCC1,-4.814551423835012
zinc_307407944,C[C@@H]1CN(C[C@@H](O)CF)C[C@H]1C,-4.345631374093392
zinc_306207818,C[C@@H](CF)N[C@H](C)C1CC1,-5.601858555440631
zinc_166791890,CC(C)[C@H](N[C@H](C)CO)C1CC1,-5.301941226941937
zinc_334953472,C=C(C)CN1CCCC[C@H]1[C@@H](C)O,-3.999216022798247
zinc_650181812,C=CCCN(CC(F)F)C[C@@H](C)O,-3.998446665286057
zinc_395048,CC[C@](C)(O)CC(C)(C)OC,-5.782742441450779
zinc_669687654,CC(C)COCCN1CCCC[C@@H]1C,-5.390228928495888
zinc_19092124,CCN(C)[C@@H](C)CCN,-4.588232982382315
zinc_307264647,COC(=O)CN1C[C@H](C)[C@H](C)[C@H]1C,-5.467474793782085
zinc_397108528,CC[C@H](CN(C)CCCO)OC,-5.617123546115063
zinc_32228566,O[C@@H](CN1CCCC1)C(F)(F)F,-4.512172097409418
zinc_154689,CN(C)P(N(C)C)N(C)C,-4.655161347149575
zinc_306468110,CC[C@H](F)CN1CC[C@H](O)C1,-5.105795556477823
zinc_77261187,CC(C)CCCN(C)CCN,-4.444272033161351
zinc_167081773,CO[C@@H](C)CN[C@@H](C)C1CCCC1,-5.209496785492755
67511,C1[C@@H]2[C@@H](O2)CO1,-4.320130169947734
zinc_307079957,C[C@@H]1CCN(C[C@@H](O)CF)C[C@@H]1C,-4.713292470465937
zinc_74647,O=C1O[C@H]2CCCC[C@@H]2O1,-5.71197022590511
zinc_3622806,OCCCN1CCCC1,-5.410333987563788
zinc_117630521,OCCN1CCC(F)(F)C1,-4.815571566838356
zinc_306427877,C[C@H]1CN(CCF)C[C@@H]1C,-5.703333537824172
zinc_21363208,C1CC1CN1C[C@H]2C[C@H]2C1,-5.4255264476695455
zinc_405092868,C[C@@H](O)[C@H](C)N1CCCC(F)(F)C1,-5.748743413470018
zinc_233726233,CCOC[C@@H](NCC1CCC1)C(C)C,-5.448645243523197
zinc_2242635,OC1CCC1,-4.686345854922426
zinc_133117635,COC(C)(C)CN[C@@H](C)C1CC1,-5.242189751295057
zinc_659849729,COCCN(C)C[C@H]1CC=CC1,-4.167957962692069
zinc_130995429,FC(F)COCCNC1CCCC1,-5.289409442484984
zinc_307936692,CCN(CCO)CCCCF,-4.813008882903006
zinc_679862068,C=C(C)CN(C)C[C@@H](C)OC,-4.040369927462622
zinc_906530837,CCCCN1CC(OC(F)F)C1,-4.581311459066069
zinc_5380285,COCCNC(=O)C(C)C,-4.714420816580916
zinc_1083805660,CCCOC(=O)OCCF,-5.883422982380028
zinc_385024990,CCCCNC(COC)COC,-5.500871861142009
zinc_44116065,CCN(CC)[C@@H](C)[C@H](C)O,-4.804153067356484
zinc_33506468,COC(C[C@H](C)O)OC,-5.527981266321172
zinc_1692466,CN1CCCC1,-4.540422808289837
12708563,C[C@H]1CCC[C@@H](O1)C,-4.733753796892783
zinc_78456441,C[C@@H]1OC[C@@H]1O,-4.683451313989973
zinc_1693640,CCCCCOCCCCC,-4.598754360620236
zinc_41043291,CCOCCNCC(C)(C)C,-4.324877662177311
12607503,C=C1COCC1=C,-2.7408501595854675
157568,C1COC[C@@H]1C=O,-3.440884613470028
zinc_168976282,C=C(C)CCN[C@@H](C)COCC,-4.090122288080516
zinc_308548805,C=C[C@H](CO)N[C@H](C)CCCC(C)C,-3.744825394820938
zinc_1571067,COCCC(=O)C,-3.6983219564764567
zinc_752087775,CO[C@@H]1CCN(CCOC(C)C)C1,-5.560289243523033
zinc_144147770,C[C@@H](CO)N1CC[C@@H](F)C1,-4.80632327254012
zinc_394780,C[C@H](CO)CCO,-4.797863034196431
zinc_113073424,COCCN1CCC(C)(F)CC1,-5.364279069432563
zinc_403207,COC[C@H]1COC(=O)O1,-3.9522204974085353
zinc_79064795,OCCN1CCC1,-5.527844746113439
zinc_5514115,CCCCOCCOC,-4.428429276683101
zinc_396963595,CC[C@H](CN(C)CC(=O)OC)OC,-3.928926383419544
zinc_37472532,CCOC(=O)CN[C@H](C)[C@H](C)CC,-3.968172965803008
zinc_336555736,C[C@H]1COC[C@H](C)N1CC1CC1,-5.41974806217638
zinc_20037499,N#CCNCC1CC1,-3.5376115108795507
zinc_200174426,CC(C)[C@@H]1C[N@@](C2CCCC2)CCO1,-5.478896741968906
zinc_393414762,COC[C@@H](C)NCC(C)(F)F,-4.211469191710944
zinc_6019424,CS(C)([NH])[O],-4.749002379272925
zinc_42459214,COCCN(C)C[C@H](C)C#N,-3.64336676684012
zinc_19093337,COCCNCC1CC1,-4.329477937822821
zinc_671677590,C[C@H](C1CC1)N(CCCCF)C1CC1,-5.298180656992448
zinc_53550220,CCC(CC)NC[C@@H](C)OC,-5.779452107773732
zinc_649694121,CC(C)N(CCCCF)C1COC1,-5.502542596892364
zinc_1320117573,CO[C@H](C)CN1C[C@H]2CC[C@@H]1CC2,-5.481108574091812
zinc_384894249,CC/C=C\CNC[C@@H](O)CC,-4.070135158550404
zinc_685002938,C[C@H](O)CN(CC(F)F)CC1CC1,-5.454234920205094
zinc_388277651,CCN(CC)CCCCC(F)(F)F,-5.560544070466638
zinc_5701041,COC(CCCO)OC,-4.561245251812749
zinc_635906636,CC(C)OCCN1[C@H]2CC[C@@H]1CC2,-5.488151125387774
zinc_146916830,CCCC[C@H](CC)OC(C)(C)C,-5.456202998963407
zinc_1672246,CCCCOCCN,-5.9323897658027365
zinc_98214188,CCNC1(CC)COC1,-4.445809347148964
zinc_16941898,CNCC1CCN(C)CC1,-4.377949508807993
zinc_379573281,COC[C@H](CC(C)C)NCC1CCC1,-5.298624839377202
zinc_2572897,CCCCNCCOCC,-4.339491332643628
zinc_15446041,C[C@H](CN)CO,-5.519536143007416
zinc_12137833,CO[C@H](C)CN,-5.697558762693808
zinc_379363517,COC(CN1CCC(F)(F)C1)OC,-5.251866008290459
